Freq[Hz]     dBSPL  Phase[Deg]
113.137     25.972   -66.047
114.783     26.393   -66.158
116.452     26.814   -66.270
118.146     27.235   -66.384
119.865     27.656   -66.500
121.608     28.077   -66.617
123.377     28.498   -66.736
125.171     28.919   -66.857
126.992     29.341   -66.979
128.839     29.762   -67.103
130.713     30.183   -67.229
132.615     30.604   -67.357
134.543     31.025   -67.487
136.500     31.446   -67.618
138.486     31.867   -67.752
140.500     32.288   -67.887
142.544     32.709   -68.024
144.617     33.131   -68.164
146.721     33.552   -68.305
148.855     33.973   -68.449
151.020     34.394   -68.594
153.217     34.815   -68.742
155.445     35.236   -68.891
157.706     35.657   -69.043
160.000     36.078   -69.198
162.327     36.499   -69.354
164.688     36.920   -69.513
167.084     37.342   -69.673
169.514     37.763   -69.837
171.980     38.184   -70.002
174.481     38.605   -70.171
177.019     39.026   -70.341
179.594     39.447   -70.514
182.206     39.868   -70.690
184.856     40.289   -70.868
187.545     40.710   -71.048
190.273     41.132   -71.232
193.041     41.553   -71.418
195.849     41.974   -71.606
198.697     42.395   -71.798
201.587     42.816   -71.992
204.520     43.237   -72.189
207.494     43.658   -72.389
210.512     44.079   -72.592
213.574     44.500   -72.798
216.681     44.921   -73.007
219.833     45.343   -73.219
223.030     45.764   -73.434
226.274     46.185   -73.653
229.565     46.606   -73.874
232.905     47.027   -74.099
236.292     47.448   -74.327
239.729     47.869   -74.559
243.216     48.290   -74.794
246.754     48.711   -75.032
250.343     49.133   -75.275
253.984     49.554   -75.520
257.678     49.975   -75.770
261.426     50.396   -76.023
265.229     50.817   -76.280
269.087     51.238   -76.541
273.001     51.659   -76.806
276.972     52.080   -77.076
281.000     52.501   -77.349
285.088     52.922   -77.627
289.234     53.344   -77.909
293.441     53.765   -78.195
297.709     54.186   -78.487
302.040     54.607   -78.783
306.433     55.028   -79.084
310.890     55.449   -79.389
315.412     55.870   -79.701
320.000     56.291   -80.017
324.655     56.712   -80.339
329.377     57.134   -80.667
334.168     57.555   -81.002
339.028     57.976   -81.342
343.959     58.397   -81.690
348.962     58.818   -82.045
354.038     59.239   -82.407
359.188     59.660   -82.778
364.412     60.081   -83.158
369.713     60.502   -83.549
375.090     60.924   -83.951
380.546     61.345   -84.366
386.081     61.766   -84.797
391.697     62.187   -85.246
397.394     62.608   -85.720
403.175     63.029   -86.227
409.039     63.450   -86.787
414.989     63.870   -87.413
421.025     64.284   -88.104
427.149     64.666   -88.812
433.362     65.001   -89.441
439.665     65.311   -89.923
446.060     65.611   -90.219
452.548     65.926   -90.301
459.131     66.276   -90.224
465.809     66.659   -90.074
472.584     67.073   -89.924
479.458     67.517   -89.834
486.432     67.980   -89.847
493.507     68.452   -89.988
500.686     68.928   -90.268
507.968     69.402   -90.682
515.357     69.863   -91.207
522.853     70.303   -91.802
530.458     70.718   -92.422
538.174     71.116   -93.029
546.002     71.494   -93.578
553.943     71.869   -94.046
562.001     72.240   -94.439
570.175     72.607   -94.743
578.469     72.982   -94.960
586.883     73.362   -95.115
595.419     73.751   -95.216
604.080     74.166   -95.306
612.866     74.591   -95.425
621.780     75.014   -95.564
630.824     75.442   -95.730
640.000     75.857   -95.908
649.309     76.265   -96.049
658.753     76.670   -96.128
668.335     77.078   -96.141
678.056     77.496   -96.087
687.919     77.924   -95.968
697.925     78.366   -95.794
708.077     78.820   -95.582
718.376     79.289   -95.336
728.825     79.779   -95.073
739.426     80.287   -94.812
750.181     80.821   -94.590
761.093     81.381   -94.450
772.163     81.955   -94.410
783.394     82.534   -94.466
794.789     83.107   -94.598
806.349     83.675   -94.773
818.078     84.244   -94.958
829.977     84.824   -95.141
842.050     85.409   -95.314
854.298     86.006   -95.470
866.724     86.619   -95.620
879.330     87.249   -95.770
892.120     87.899   -95.917
905.097     88.589   -96.107
918.262     89.302   -96.375
931.618     90.053   -96.759
945.169     90.844   -97.324
958.917     91.657   -98.106
972.864     92.487   -99.102
987.015     93.317  -100.297
1001.37     94.155  -101.670
1015.94     95.001  -103.225
1030.71     95.889  -105.002
1045.71     96.827  -107.102
1060.92     97.779  -109.567
1076.35     98.731  -112.415
1092.00     99.670  -115.666
1107.89    100.584  -119.294
1124.00    101.495  -123.292
1140.35    102.386  -127.658
1156.94    103.262  -132.411
1173.77    104.108  -137.552
1190.84    104.911  -143.102
1208.16    105.674  -149.041
1225.73    106.380  -155.370
1243.56    107.006  -162.019
1261.65    107.529  -168.899
1280.00    107.942  -175.930
1298.62    108.229   177.026
1317.51    108.403   170.087
1336.67    108.483   163.364
1356.11    108.481   156.923
1375.84    108.425   150.831
1395.85    108.332   145.092
1416.15    108.226   139.680
1436.75    108.108   134.564
1457.65    107.982   129.712
1478.85    107.853   125.069
1500.36    107.725   120.562
1522.19    107.606   116.137
1544.33    107.496   111.735
1566.79    107.376   107.301
1589.58    107.227   102.804
1612.70    107.029    98.250
1636.16    106.777    93.656
1659.95    106.461    89.051
1684.10    106.065    84.470
1708.60    105.570    80.038
1733.45    104.936    75.888
1758.66    104.099    72.419
1784.24    103.013    70.162
1810.19    101.695    69.895
1836.52    100.168    73.009
1863.24     98.919    80.417
1890.34     98.655    90.786
1917.83     99.547    99.679
1945.73    100.894   104.235
1974.03    102.186   105.053
2002.74    103.141   103.390
2031.87    103.787   100.523
2061.43    104.146    97.344
2091.41    104.283    94.370
2121.83    104.321    91.911
2152.69    104.394    89.905
2184.01    104.615    88.107
2215.77    104.936    86.188
2248.00    105.238    84.008
2280.70    105.440    81.598
2313.87    105.538    79.095
2347.53    105.584    76.685
2381.68    105.644    74.440
2416.32    105.731    72.307
2451.46    105.830    70.185
2487.12    105.944    67.975
2523.30    106.043    65.642
2560.00    106.110    63.243
2597.24    106.133    60.833
2635.01    106.102    58.480
2673.34    106.034    56.273
2712.23    105.957    54.255
2751.68    105.885    52.404
2791.70    105.831    50.654
2832.31    105.796    48.933
2873.50    105.766    47.194
2915.30    105.712    45.447
2957.70    105.610    43.776
3000.72    105.445    42.321
3044.37    105.228    41.255
3088.65    104.997    40.715
3133.58    104.807    40.724
3179.16    104.718    41.153
3225.40    104.791    41.694
3272.31    105.014    41.974
3319.91    105.327    41.740
3368.20    105.654    40.912
3417.19    105.938    39.558
3466.89    106.154    37.833
3517.32    106.311    35.906
3568.48    106.418    33.915
3620.39    106.484    31.962
3673.05    106.510    30.125
3726.47    106.512    28.451
3780.67    106.517    26.933
3835.67    106.550    25.513
3891.46    106.618    24.109
3948.06    106.711    22.637
4005.49    106.807    21.046
4063.75    106.879    19.357
4122.86    106.911    17.666
4182.82    106.904    16.080
4243.66    106.874    14.676
4305.39    106.860    13.473
4368.01    106.897    12.410
4431.55    107.001    11.365
4496.01    107.162    10.186
4561.40    107.362     8.735
4627.75    107.586     6.930
4695.06    107.814     4.741
4763.35    108.001     2.233
4832.64    108.112    -0.466
4902.93    108.145    -3.227
4974.24    108.115    -5.943
5046.60    108.067    -8.546
5120.00    108.034   -11.041
5194.47    108.009   -13.489
5270.03    107.977   -15.937
5346.68    107.933   -18.432
5424.45    107.878   -20.990
5503.35    107.801   -23.590
5583.40    107.696   -26.189
5664.61    107.543   -28.733
5747.01    107.333   -31.118
5830.60    107.080   -33.238
5915.41    106.819   -35.054
6001.45    106.589   -36.616
6088.74    106.435   -38.072
6177.30    106.351   -39.603
6267.15    106.289   -41.319
6358.31    106.203   -43.245
6450.80    106.065   -45.341
6544.62    105.863   -47.464
6639.82    105.601   -49.443
6736.40    105.296   -51.168
6834.38    104.962   -52.585
6933.79    104.634   -53.653
7034.64    104.337   -54.377
7136.96    104.085   -54.848
7240.77    103.901   -55.255
7346.09    103.800   -55.804
7452.94    103.761   -56.629
7561.35    103.708   -57.740
7671.33    103.566   -59.011
7782.91    103.310   -60.207
7896.12    102.960   -61.019
8010.97    102.604   -61.255
8127.49    102.321   -60.974
8245.71    102.169   -60.437
8365.65    102.180   -60.023
8487.33    102.264   -59.985
8610.78    102.317   -60.283
8736.03    102.270   -60.690
8863.09    102.140   -60.918
8992.01    102.011   -60.790
9122.80    102.007   -60.423
9255.50    102.227   -60.275
9390.12    102.593   -60.807
9526.70    102.943   -62.076
9665.27    103.163   -63.841
9805.86    103.174   -65.714
9948.49    103.057   -67.322
10093.2    103.011   -68.629
10240.0    103.169   -69.967
10388.9    103.514   -71.762
10540.1    103.880   -74.245
10693.4    104.085   -77.304
10848.9    104.069   -80.592
11006.7    103.919   -83.851
11166.8    103.794   -87.049
11329.2    103.776   -90.304
11494.0    103.838   -93.757
11661.2    103.806   -97.441
11830.8    103.540  -101.127
12002.9    103.067  -104.541
12177.5    102.548  -107.562
12354.6    102.123  -110.212
12534.3    101.836  -112.632
12716.6    101.546  -114.997
12901.6    101.083  -117.251
13089.2    100.425  -119.097
13279.6     99.731  -120.308
13472.8     99.125  -120.851
13668.8     98.624  -120.768
13867.6     98.119  -119.987
14069.3     97.490  -118.103
14273.9     96.829  -114.494
