Freq[Hz]     dBSPL  Phase[Deg]
177.019     96.281    24.023
179.594     96.436    23.452
182.206     96.539    22.666
184.856     96.596    21.792
187.545     96.620    20.922
190.273     96.626    20.112
193.041     96.626    19.376
195.849     96.627    18.700
198.697     96.627    18.068
201.587     96.627    17.465
204.520     96.627    16.883
207.494     96.627    16.316
210.512     96.627    15.762
213.574     96.627    15.220
216.681     96.627    14.690
219.833     96.627    14.173
223.030     96.630    13.664
226.274     96.638    13.154
229.565     96.652    12.630
232.905     96.672    12.080
236.292     96.694    11.491
239.729     96.717    10.856
243.216     96.740    10.170
246.754     96.763     9.426
250.343     96.787     8.614
253.984     96.810     7.699
257.678     96.833     6.652
261.426     96.862     5.428
265.229     96.863     4.044
269.087     96.786     2.622
273.001     96.647     1.255
276.972     96.441     0.016
281.000     96.222    -1.022
285.088     96.014    -1.852
289.234     95.782    -2.469
293.441     95.509    -2.818
297.709     95.183    -2.806
302.040     94.849    -2.307
306.433     94.567    -1.310
310.890     94.354     0.083
315.412     94.244     1.676
320.000     94.274     3.126
324.655     94.395     4.152
329.377     94.544     4.674
334.168     94.645     4.737
339.028     94.647     4.541
343.959     94.531     4.419
348.962     94.298     4.804
354.038     94.014     6.027
359.188     93.807     8.070
364.412     93.771    10.678
369.713     94.035    13.272
375.090     94.490    15.161
380.546     94.989    16.094
386.081     95.503    16.015
391.697     95.982    14.982
397.394     96.396    13.171
403.175     96.686    10.853
409.039     96.797     8.290
414.989     96.667     5.922
421.025     96.349     4.160
427.149     95.969     3.250
433.362     95.568     3.376
439.665     95.330     4.420
446.060     95.290     5.842
452.548     95.399     7.189
459.131     95.596     8.211
465.809     95.838     8.795
472.584     96.061     8.944
479.458     96.242     8.833
486.432     96.451     8.550
493.507     96.656     8.070
500.686     96.865     7.409
507.968     97.088     6.523
515.357     97.310     5.355
522.853     97.529     3.877
530.458     97.729     2.071
538.174     97.879    -0.011
546.002     97.949    -2.262
553.943     97.925    -4.548
562.001     97.820    -6.737
570.175     97.661    -8.725
578.469     97.481   -10.471
586.883     97.303   -12.006
595.419     97.131   -13.407
604.080     96.955   -14.739
612.866     96.767   -16.040
621.780     96.560   -17.331
630.824     96.300   -18.547
640.000     95.961   -19.517
649.309     95.563   -20.099
658.753     95.096   -20.132
668.335     94.618   -19.441
678.056     94.229   -18.084
687.919     93.949   -16.286
697.925     93.794   -14.288
708.077     93.752   -12.362
718.376     93.766   -10.660
728.825     93.811    -9.228
739.426     93.882    -8.072
750.181     93.993    -7.211
761.093     94.115    -6.657
772.163     94.177    -6.262
783.394     94.185    -5.850
794.789     94.160    -5.364
806.349     94.153    -4.765
818.078     94.231    -4.121
829.977     94.346    -3.551
842.050     94.415    -3.019
854.298     94.489    -2.520
866.724     94.571    -2.085
879.330     94.723    -1.744
892.120     94.945    -1.663
905.097     95.151    -1.927
918.262     95.299    -2.446
931.618     95.385    -3.091
945.169     95.416    -3.716
958.917     95.424    -4.215
972.864     95.443    -4.584
987.015     95.491    -4.911
1001.37     95.566    -5.300
1015.94     95.663    -5.837
1030.71     95.757    -6.580
1045.71     95.799    -7.468
1060.92     95.787    -8.397
1076.35     95.728    -9.302
1092.00     95.625   -10.087
1107.89     95.517   -10.700
1124.00     95.380   -11.120
1140.35     95.219   -11.293
1156.94     95.045   -11.187
1173.77     94.843   -10.706
1190.84     94.658    -9.758
1208.16     94.526    -8.396
1225.73     94.451    -6.674
1243.56     94.489    -4.698
1261.65     94.672    -2.775
1280.00     94.964    -1.208
1298.62     95.388    -0.253
1317.51     95.897    -0.185
1336.67     96.355    -0.967
1356.11     96.749    -2.444
1375.84     96.996    -4.410
1395.85     97.064    -6.494
1416.15     97.025    -8.401
1436.75     96.868    -9.913
1457.65     96.641   -10.757
1478.85     96.419   -10.859
1500.36     96.261   -10.334
1522.19     96.254    -9.457
1544.33     96.405    -8.635
1566.79     96.667    -8.195
1589.58     96.960    -8.321
1612.70     97.195    -8.926
1636.16     97.332    -9.733
1659.95     97.396   -10.506
1684.10     97.393   -11.062
1708.60     97.393   -11.277
1733.45     97.470   -11.196
1758.66     97.626   -10.998
1784.24     97.830   -10.824
1810.19     98.131   -10.862
1836.52     98.535   -11.387
1863.24     98.929   -12.432
1890.34     99.332   -13.968
1917.83     99.721   -16.105
1945.73    100.020   -18.722
1974.03    100.253   -21.593
2002.74    100.411   -24.671
2031.87    100.466   -27.860
2061.43    100.450   -31.007
2091.41    100.368   -33.995
2121.83    100.212   -36.740
2152.69    100.009   -39.214
2184.01     99.800   -41.454
2215.77     99.604   -43.479
2248.00     99.399   -45.284
2280.70     99.154   -46.867
2313.87     98.820   -48.096
2347.53     98.444   -48.778
2381.68     98.093   -48.823
2416.32     97.775   -48.171
2451.46     97.598   -46.944
2487.12     97.554   -45.421
2523.30     97.660   -43.808
2560.00     97.950   -42.489
