Freq[Hz]  Imp[Ohm]  Phase[Deg]
160.000      3.915   -25.856
162.327      3.914   -25.257
164.688      3.911   -24.805
167.084      3.891   -24.415
169.514      3.847   -23.941
171.980      3.798   -23.324
174.481      3.748   -22.545
177.019      3.718   -21.620
179.594      3.710   -20.671
182.206      3.709   -19.790
184.856      3.709   -18.999
187.545      3.709   -18.288
190.273      3.709   -17.634
193.041      3.709   -17.023
195.849      3.709   -16.448
198.697      3.709   -15.906
201.587      3.709   -15.397
204.520      3.709   -14.920
207.494      3.709   -14.480
210.512      3.709   -14.087
213.574      3.709   -13.765
216.681      3.708   -13.522
219.833      3.704   -13.350
223.030      3.680   -13.162
226.274      3.632   -12.816
229.565      3.582   -12.277
232.905      3.533   -11.536
236.292      3.508   -10.619
239.729      3.504    -9.680
243.216      3.503    -8.804
246.754      3.503    -8.000
250.343      3.503    -7.251
253.984      3.503    -6.528
257.678      3.503    -5.816
261.426      3.503    -5.102
265.229      3.503    -4.372
269.087      3.503    -3.596
273.001      3.503    -2.761
276.972      3.507    -1.877
281.000      3.532    -1.035
285.088      3.579    -0.373
289.234      3.627     0.086
293.441      3.662     0.401
297.709      3.673     0.636
302.040      3.678     0.856
306.433      3.679     1.136
310.890      3.694     1.466
315.412      3.706     1.770
320.000      3.708     2.058
324.655      3.709     2.367
329.377      3.709     2.704
334.168      3.709     3.075
339.028      3.709     3.470
343.959      3.709     3.886
348.962      3.709     4.320
354.038      3.709     4.775
359.188      3.709     5.251
364.412      3.709     5.753
369.713      3.709     6.286
375.090      3.709     6.860
380.546      3.709     7.503
386.081      3.710     8.227
391.697      3.714     9.024
397.394      3.739     9.813
403.175      3.788    10.452
409.039      3.838    10.917
414.989      3.886    11.219
421.025      3.910    11.394
427.149      3.914    11.589
433.362      3.915    11.898
439.665      3.916    12.346
446.060      3.922    12.921
452.548      3.937    13.557
459.131      3.971    14.176
465.809      4.020    14.693
472.584      4.064    15.122
479.458      4.102    15.514
486.432      4.124    15.930
493.507      4.154    16.406
500.686      4.208    16.874
507.968      4.283    17.230
515.357      4.384    17.325
522.853      4.482    17.065
530.458      4.581    16.451
538.174      4.643    15.570
546.002      4.660    14.617
553.943      4.626    13.758
562.001      4.548    13.170
570.175      4.460    12.996
578.469      4.393    13.188
586.883      4.349    13.636
595.419      4.330    14.209
