Freq[Hz]  Imp[Ohm]  Phase[Deg]
177.019      6.424     5.346
179.594      6.428     5.411
182.206      6.432     5.476
184.856      6.437     5.542
187.545      6.441     5.608
190.273      6.446     5.675
193.041      6.451     5.741
195.849      6.456     5.809
198.697      6.461     5.876
201.587      6.466     5.944
204.520      6.471     6.012
207.494      6.477     6.080
210.512      6.482     6.148
213.574      6.488     6.217
216.681      6.494     6.285
219.833      6.500     6.354
223.030      6.506     6.422
226.274      6.513     6.491
229.565      6.519     6.559
232.905      6.526     6.627
236.292      6.533     6.695
239.729      6.540     6.762
243.216      6.548     6.829
246.754      6.555     6.896
250.343      6.563     6.961
253.984      6.571     7.026
257.678      6.579     7.090
261.426      6.587     7.153
265.229      6.596     7.214
269.087      6.605     7.274
273.001      6.614     7.332
276.972      6.623     7.387
281.000      6.632     7.440
285.088      6.642     7.490
289.234      6.652     7.537
293.441      6.662     7.578
297.709      6.673     7.614
302.040      6.684     7.643
306.433      6.695     7.661
310.890      6.706     7.666
315.412      6.716     7.660
320.000      6.723     7.647
324.655      6.727     7.633
329.377      6.729     7.624
334.168      6.730     7.625
339.028      6.730     7.639
343.959      6.730     7.663
348.962      6.730     7.696
354.038      6.730     7.735
359.188      6.730     7.780
364.412      6.730     7.830
369.713      6.730     7.885
375.090      6.730     7.944
380.546      6.730     8.007
386.081      6.730     8.075
391.697      6.730     8.147
397.394      6.730     8.223
403.175      6.730     8.303
409.039      6.730     8.387
414.989      6.730     8.475
421.025      6.730     8.568
427.149      6.730     8.666
433.362      6.730     8.768
439.665      6.730     8.877
446.060      6.730     8.993
452.548      6.730     9.118
459.131      6.730     9.257
465.809      6.730     9.425
472.584      6.731     9.597
479.458      6.737     9.764
486.432      6.778     9.846
493.507      6.817     9.811
500.686      6.806     9.793
507.968      6.804     9.788
515.357      6.755     9.817
522.853      6.725     9.992
530.458      6.729    10.223
538.174      6.729    10.445
546.002      6.730    10.664
553.943      6.730    10.868
562.001      6.730    11.084
570.175      6.730    11.310
578.469      6.732    11.542
586.883      6.742    11.760
595.419      6.757    11.945
604.080      6.763    12.119
612.866      6.763    12.307
621.780      6.752    12.528
630.824      6.737    12.820
640.000      6.733    13.185
649.309      6.743    13.581
658.753      6.770    13.946
668.335      6.805    14.246
678.056      6.849    14.457
687.919      6.884    14.575
697.925      6.892    14.672
708.077      6.893    14.798
718.376      6.880    14.977
728.825      6.869    15.253
739.426      6.868    15.607
750.181      6.870    16.010
761.093      6.887    16.428
772.163      6.919    16.805
783.394      6.952    17.140
794.789      6.985    17.445
806.349      7.002    17.738
818.078      7.007    18.067
829.977      7.024    18.438
842.050      7.057    18.809
854.298      7.090    19.179
866.724      7.123    19.548
879.330      7.142    19.925
892.120      7.161    20.342
905.097      7.195    20.788
918.262      7.230    21.261
931.618      7.279    21.754
945.169      7.330    22.219
958.917      7.373    22.690
972.864      7.451    23.126
987.015      7.536    23.462
1001.37      7.588    23.796
1015.94      7.653    24.144
1030.71      7.672    24.542
1045.71      7.695    25.097
1060.92      7.759    25.748
1076.35      7.850    26.421
1092.00      7.954    27.106
1107.89      8.074    27.777
1124.00      8.207    28.399
1140.35      8.358    28.972
1156.94      8.555    29.456
1173.77      8.786    29.763
1190.84      9.027    29.862
1208.16      9.270    29.754
1225.73      9.513    29.433
1243.56      9.739    28.931
1261.65      9.945    28.295
1280.00     10.111    27.584
1298.62     10.218    26.894
1317.51     10.277    26.329
1336.67     10.300    25.974
1356.11     10.321    25.881
1375.84     10.374    26.027
1395.85     10.478    26.348
1416.15     10.645    26.761
1436.75     10.868    27.188
1457.65     11.146    27.581
1478.85     11.497    27.869
1500.36     11.941    27.958
1522.19     12.521    27.688
1544.33     13.255    26.828
1566.79     14.136    25.140
1589.58     15.132    22.448
1612.70     16.111    18.718
1636.16     16.870    14.116
1659.95     17.175     8.986
1684.10     16.896     3.721
1708.60     15.997    -1.168
1733.45     14.607    -5.113
1758.66     12.996    -7.518
1784.24     11.421    -7.847
1810.19     10.161    -5.800
1836.52      9.359    -1.618
1863.24      9.069     3.826
1890.34      9.265     9.174
1917.83      9.894    13.287
1945.73     10.856    15.473
1974.03     11.986    15.662
2002.74     13.134    14.149
2031.87     14.034    11.465
2061.43     14.500     8.289
2091.41     14.487     5.204
2121.83     14.162     2.556
2152.69     13.838     0.470
2184.01     13.797    -1.280
2215.77     14.046    -3.144
2248.00     14.309    -5.436
2280.70     14.343    -8.142
2313.87     14.074   -11.038
2347.53     13.553   -13.795
2381.68     12.921   -16.125
2416.32     12.276   -17.899
2451.46     11.648   -19.093
2487.12     11.064   -19.762
2523.30     10.532   -19.988
2560.00     10.066   -19.842
2597.24      9.681   -19.427
2635.01      9.351   -18.835
2673.34      9.060   -18.108
2712.23      8.804   -17.278
2751.68      8.574   -16.365
2791.70      8.377   -15.369
2832.31      8.216   -14.324
2873.50      8.083   -13.268
2915.30      7.975   -12.236
2957.70      7.890   -11.255
3000.72      7.810   -10.307
3044.37      7.741    -9.382
3088.65      7.667    -8.462
3133.58      7.610    -7.532
3179.16      7.574    -6.626
3225.40      7.557    -5.780
3272.31      7.554    -5.029
3319.91      7.551    -4.386
3368.20      7.534    -3.805
