Freq[Hz]     dBSPL  Phase[Deg]
177.019     56.086   171.728
179.594     56.315   171.847
182.206     56.544   171.968
184.856     56.774   172.091
187.545     57.003   172.216
190.273     57.233   172.344
193.041     57.462   172.474
195.849     57.691   172.607
198.697     57.921   172.742
201.587     58.150   172.880
204.520     58.379   173.020
207.494     58.609   173.164
210.512     58.838   173.310
213.574     59.067   173.458
216.681     59.297   173.610
219.833     59.526   173.765
223.030     59.755   173.923
226.274     59.985   174.084
229.565     60.214   174.249
232.905     60.443   174.417
236.292     60.673   174.588
239.729     60.902   174.763
243.216     61.131   174.941
246.754     61.361   175.124
250.343     61.590   175.310
253.984     61.819   175.500
257.678     62.049   175.695
261.426     62.278   175.894
265.229     62.507   176.097
269.087     62.737   176.304
273.001     62.966   176.517
276.972     63.195   176.734
281.000     63.425   176.956
285.088     63.654   177.183
289.234     63.883   177.415
293.441     64.113   177.653
297.709     64.342   177.896
302.040     64.571   178.145
306.433     64.801   178.400
310.890     65.030   178.661
315.412     65.259   178.928
320.000     65.489   179.201
324.655     65.718   179.481
329.377     65.948   179.767
334.168     66.177  -179.940
339.028     66.406  -179.640
343.959     66.636  -179.334
348.962     66.865  -179.020
354.038     67.094  -178.700
359.188     67.324  -178.374
364.412     67.553  -178.042
369.713     67.782  -177.704
375.090     68.012  -177.361
380.546     68.241  -177.014
386.081     68.470  -176.665
391.697     68.700  -176.315
397.394     68.929  -175.968
403.175     69.158  -175.622
409.039     69.389  -175.296
414.989     69.622  -175.022
421.025     69.874  -174.874
427.149     70.132  -174.930
433.362     70.352  -175.174
439.665     70.508  -175.531
446.060     70.552  -175.851
452.548     70.478  -175.869
459.131     70.297  -175.236
465.809     70.008  -173.468
472.584     69.661  -170.138
479.458     69.532  -165.163
486.432     69.825  -159.506
493.507     70.453  -154.256
500.686     71.383  -150.362
507.968     72.332  -148.212
515.357     73.203  -147.382
522.853     73.976  -147.475
530.458     74.606  -148.167
538.174     75.098  -149.158
546.002     75.442  -150.153
553.943     75.655  -150.848
562.001     75.748  -150.972
570.175     75.747  -150.240
578.469     75.736  -148.437
586.883     75.815  -145.553
595.419     76.100  -141.914
604.080     76.654  -138.165
612.866     77.443  -135.010
621.780     78.340  -132.861
630.824     79.240  -131.750
640.000     80.055  -131.471
649.309     80.748  -131.672
658.753     81.311  -131.986
668.335     81.769  -132.096
678.056     82.169  -131.771
687.919     82.573  -130.903
697.925     83.056  -129.553
708.077     83.661  -127.981
718.376     84.406  -126.538
728.825     85.284  -125.578
739.426     86.200  -125.275
750.181     87.074  -125.563
761.093     87.875  -126.279
772.163     88.596  -127.216
783.394     89.254  -128.153
794.789     89.873  -128.928
806.349     90.507  -129.517
818.078     91.185  -130.005
829.977     91.927  -130.506
842.050     92.740  -131.188
854.298     93.580  -132.177
866.724     94.441  -133.526
879.330     95.292  -135.222
892.120     96.106  -137.188
905.097     96.885  -139.328
918.262     97.651  -141.611
931.618     98.431  -144.040
945.169     99.220  -146.636
958.917    100.039  -149.472
972.864    100.869  -152.637
987.015    101.701  -156.183
1001.37    102.518  -160.124
1015.94    103.301  -164.460
1030.71    104.043  -169.163
1045.71    104.725  -174.184
1060.92    105.342  -179.465
1076.35    105.894   175.043
1092.00    106.394   169.344
1107.89    106.847   163.448
1124.00    107.236   157.401
1140.35    107.545   151.258
1156.94    107.737   145.110
1173.77    107.802   139.088
1190.84    107.771   133.296
1208.16    107.660   127.820
1225.73    107.509   122.718
1243.56    107.344   117.980
1261.65    107.154   113.578
1280.00    106.931   109.536
1298.62    106.654   105.911
1317.51    106.332   102.768
1336.67    105.994   100.156
1356.11    105.696    98.049
1375.84    105.485    96.331
1395.85    105.346    94.856
1416.15    105.250    93.535
1436.75    105.163    92.335
1457.65    105.081    91.290
1478.85    105.048    90.400
1500.36    105.108    89.540
1522.19    105.274    88.512
1544.33    105.526    87.101
1566.79    105.820    85.151
1589.58    106.102    82.620
1612.70    106.327    79.583
1636.16    106.458    76.192
1659.95    106.476    72.626
1684.10    106.376    69.067
1708.60    106.171    65.711
1733.45    105.881    62.739
1758.66    105.508    60.339
1784.24    105.075    58.679
1810.19    104.642    57.822
1836.52    104.285    57.693
1863.24    104.087    58.055
1890.34    104.057    58.546
1917.83    104.135    58.859
1945.73    104.255    58.848
1974.03    104.397    58.486
2002.74    104.560    57.781
2031.87    104.740    56.742
2061.43    104.923    55.373
2091.41    105.073    53.708
2121.83    105.169    51.823
2152.69    105.198    49.834
2184.01    105.159    47.882
2215.77    105.064    46.097
2248.00    104.917    44.594
2280.70    104.743    43.465
2313.87    104.573    42.736
2347.53    104.434    42.377
2381.68    104.367    42.281
2416.32    104.378    42.286
2451.46    104.436    42.294
2487.12    104.529    42.249
2523.30    104.653    42.097
2560.00    104.804    41.816
2597.24    105.006    41.361
2635.01    105.261    40.622
2673.34    105.539    39.521
2712.23    105.815    38.043
2751.68    106.059    36.221
2791.70    106.250    34.136
2832.31    106.392    31.863
2873.50    106.490    29.466
2915.30    106.552    26.991
2957.70    106.578    24.476
3000.72    106.541    21.987
3044.37    106.423    19.667
3088.65    106.222    17.663
3133.58    105.965    16.112
3179.16    105.692    15.122
3225.40    105.479    14.672
3272.31    105.353    14.606
3319.91    105.327    14.723
3368.20    105.396    14.809
3417.19    105.532    14.706
3466.89    105.704    14.363
3517.32    105.895    13.763
3568.48    106.115    12.864
3620.39    106.383    11.579
3673.05    106.692     9.814
3726.47    106.992     7.532
3780.67    107.246     4.756
3835.67    107.409     1.559
3891.46    107.451    -1.856
3948.06    107.364    -5.230
4005.49    107.157    -8.358
4063.75    106.833   -11.020
4122.86    106.462   -13.058
4182.82    106.123   -14.472
4243.66    105.864   -15.402
4305.39    105.716   -16.074
4368.01    105.652   -16.741
4431.55    105.635   -17.569
4496.01    105.633   -18.634
4561.40    105.642   -19.957
4627.75    105.649   -21.524
4695.06    105.622   -23.258
4763.35    105.545   -25.056
4832.64    105.403   -26.814
4902.93    105.221   -28.439
4974.24    105.052   -29.927
5046.60    104.917   -31.349
5120.00    104.804   -32.766
5194.47    104.676   -34.208
5270.03    104.496   -35.632
5346.68    104.273   -36.939
5424.45    104.030   -38.032
5503.35    103.786   -38.831
5583.40    103.569   -39.364
5664.61    103.418   -39.809
5747.01    103.366   -40.417
5830.60    103.416   -41.439
5915.41    103.459   -42.945
6001.45    103.386   -44.775
6088.74    103.138   -46.640
6177.30    102.721   -48.185
6267.15    102.244   -49.110
6358.31    101.808   -49.330
6450.80    101.466   -48.954
6544.62    101.225   -48.248
6639.82    101.078   -47.510
6736.40    101.017   -46.955
6834.38    100.989   -46.635
6933.79    100.936   -46.470
7034.64    100.847   -46.379
7136.96    100.736   -46.285
7240.77    100.660   -46.124
7346.09    100.633   -45.924
7452.94    100.614   -45.724
7561.35    100.581   -45.503
7671.33    100.554   -45.213
7782.91    100.572   -44.867
7896.12    100.680   -44.623
8010.97    100.900   -44.767
8127.49    101.189   -45.543
8245.71    101.482   -47.028
8365.65    101.682   -49.128
8487.33    101.723   -51.596
8610.78    101.591   -54.102
8736.03    101.310   -56.322
8863.09    100.909   -57.910
8992.01    100.448   -58.613
9122.80    100.025   -58.425
9255.50     99.726   -57.560
9390.12     99.622   -56.412
9526.70     99.667   -55.372
9665.27     99.755   -54.598
9805.86     99.784   -53.947
9948.49     99.776   -53.170
10093.2     99.863   -52.306
10240.0    100.168   -51.763
10388.9    100.687   -52.035
10540.1    101.259   -53.374
