Freq[Hz]     dBSPL  Phase[Deg]
177.019     93.791    25.692
179.594     93.935    25.498
182.206     94.060    25.053
184.856     94.178    24.392
187.545     94.258    23.576
190.273     94.317    22.678
193.041     94.342    21.733
195.849     94.323    20.825
198.697     94.272    20.042
201.587     94.216    19.385
204.520     94.160    18.838
207.494     94.126    18.373
210.512     94.114    17.927
213.574     94.085    17.494
216.681     94.030    17.129
219.833     93.974    16.845
223.030     93.922    16.641
226.274     93.906    16.488
229.565     93.928    16.285
232.905     93.948    15.983
236.292     93.946    15.621
239.729     93.931    15.220
243.216     93.884    14.847
246.754     93.822    14.595
250.343     93.763    14.481
253.984     93.706    14.492
257.678     93.668    14.618
261.426     93.669    14.792
265.229     93.708    14.921
269.087     93.765    14.946
273.001     93.825    14.847
276.972     93.890    14.603
281.000     93.953    14.203
285.088     93.985    13.713
289.234     93.986    13.220
293.441     93.960    12.753
297.709     93.893    12.400
302.040     93.818    12.264
306.433     93.757    12.339
310.890     93.704    12.595
315.412     93.700    12.973
320.000     93.766    13.319
324.655     93.875    13.503
329.377     94.021    13.429
334.168     94.160    13.045
339.028     94.257    12.426
343.959     94.317    11.662
348.962     94.314    10.871
354.038     94.259    10.203
359.188     94.176     9.749
364.412     94.066     9.578
369.713     93.984     9.693
375.090     93.952     9.977
380.546     93.984    10.293
386.081     94.065    10.506
391.697     94.175    10.510
397.394     94.260    10.312
403.175     94.318     9.999
409.039     94.342     9.668
414.989     94.320     9.468
421.025     94.272     9.530
427.149     94.252     9.840
433.362     94.303    10.278
439.665     94.447    10.675
446.060     94.652    10.870
452.548     94.878    10.755
459.131     95.086    10.326
465.809     95.286     9.641
472.584     95.488     8.723
479.458     95.689     7.561
486.432     95.879     6.159
493.507     96.038     4.528
500.686     96.153     2.709
507.968     96.243     0.700
515.357     96.316    -1.522
522.853     96.343    -3.925
530.458     96.315    -6.459
538.174     96.210    -9.112
546.002     95.995   -11.750
553.943     95.669   -14.149
562.001     95.248   -16.146
570.175     94.719   -17.572
578.469     94.142   -18.268
586.883     93.581   -18.171
595.419     93.072   -17.312
604.080     92.634   -15.805
612.866     92.273   -13.789
621.780     92.050   -11.500
630.824     91.942    -9.201
640.000     91.946    -7.082
649.309     92.014    -5.306
658.753     92.092    -3.879
668.335     92.171    -2.728
678.056     92.251    -1.781
687.919     92.331    -0.979
697.925     92.410    -0.294
708.077     92.490     0.295
718.376     92.570     0.799
728.825     92.650     1.227
739.426     92.729     1.582
750.181     92.809     1.862
761.093     92.888     2.053
772.163     92.966     2.155
783.394     93.036     2.187
794.789     93.070     2.221
806.349     93.062     2.348
818.078     93.061     2.564
829.977     93.094     2.794
842.050     93.160     2.991
854.298     93.223     3.135
866.724     93.234     3.255
879.330     93.195     3.442
892.120     93.157     3.768
905.097     93.128     4.281
918.262     93.104     5.008
931.618     93.064     5.972
945.169     93.014     7.245
958.917     92.997     8.891
972.864     93.062    10.873
987.015     93.214    13.079
1001.37     93.460    15.383
1015.94     93.844    17.535
1030.71     94.366    19.226
1045.71     95.025    20.176
1060.92     95.755    20.176
1076.35     96.460    19.216
1092.00     97.101    17.421
1107.89     97.629    14.972
1124.00     98.049    12.085
1140.35     98.361     8.939
1156.94     98.578     5.666
1173.77     98.684     2.425
1190.84     98.692    -0.653
1208.16     98.619    -3.464
1225.73     98.463    -5.874
1243.56     98.245    -7.697
1261.65     97.997    -8.837
1280.00     97.766    -9.287
1298.62     97.648    -9.186
1317.51     97.712    -8.882
1336.67     97.938    -8.788
1356.11     98.265    -9.231
1375.84     98.618   -10.361
1395.85     98.941   -12.141
1416.15     99.201   -14.441
1436.75     99.377   -17.112
1457.65     99.470   -20.014
1478.85     99.471   -22.994
1500.36     99.371   -25.865
1522.19     99.178   -28.464
1544.33     98.896   -30.642
1566.79     98.563   -32.260
1589.58     98.239   -33.255
1612.70     97.971   -33.690
1636.16     97.795   -33.731
1659.95     97.720   -33.611
1684.10     97.747   -33.552
1708.60     97.838   -33.719
1733.45     97.954   -34.164
1758.66     98.077   -34.881
1784.24     98.212   -35.887
1810.19     98.353   -37.196
1836.52     98.529   -38.868
1863.24     98.715   -40.982
1890.34     98.831   -43.463
1917.83     98.842   -46.114
1945.73     98.711   -48.739
1974.03     98.453   -51.094
2002.74     98.152   -53.006
2031.87     97.896   -54.499
2061.43     97.701   -55.686
2091.41     97.548   -56.701
2121.83     97.418   -57.686
2152.69     97.292   -58.736
2184.01     97.169   -59.826
2215.77     97.062   -60.944
2248.00     96.933   -62.064
2280.70     96.743   -63.059
2313.87     96.526   -63.813
2347.53     96.311   -64.279
2381.68     96.173   -64.536
2416.32     96.138   -64.797
2451.46     96.189   -65.293
2487.12     96.295   -66.238
2523.30     96.375   -67.693
2560.00     96.417   -69.597
2597.24     96.363   -71.778
2635.01     96.166   -73.955
2673.34     95.831   -75.819
2712.23     95.359   -77.069
2751.68     94.846   -77.422
2791.70     94.376   -76.758
2832.31     94.048   -75.197
2873.50     93.947   -73.205
2915.30     94.111   -71.455
2957.70     94.495   -70.553
3000.72     94.974   -70.816
3044.37     95.411   -72.216
3088.65     95.712   -74.491
3133.58     95.846   -77.268
3179.16     95.806   -80.178
3225.40     95.635   -82.937
3272.31     95.380   -85.381
3319.91     95.081   -87.397
3368.20     94.768   -88.927
3417.19     94.424   -89.915
3466.89     94.031   -90.215
3517.32     93.622   -89.649
3568.48     93.293   -88.180
3620.39     93.202   -86.159
3673.05     93.424   -84.288
3726.47     93.902   -83.250
3780.67     94.437   -83.291
3835.67     94.861   -84.151
3891.46     95.116   -85.345
3948.06     95.269   -86.465
4005.49     95.506   -87.450
4063.75     95.954   -88.602
4122.86     96.661   -90.465
4182.82     97.496   -93.556
4243.66     98.302   -98.035
4305.39     99.028  -103.826
4368.01     99.607  -110.736
4431.55     99.973  -118.412
4496.01    100.095  -126.491
4561.40     99.958  -134.751
4627.75     99.585  -142.980
4695.06     99.053  -150.978
4763.35     98.443  -158.618
4832.64     97.761  -165.834
4902.93     96.955  -172.497
4974.24     95.994  -178.520
5046.60     94.878   176.186
5120.00     93.649   171.848
5194.47     92.460   168.592
5270.03     91.390   166.234
5346.68     90.445   164.410
5424.45     89.669   162.653
5503.35     89.029   160.547
5583.40     88.431   157.887
5664.61     87.741   154.691
5747.01     86.840   151.251
5830.60     85.698   148.022
5915.41     84.296   145.524
6001.45     82.678   144.337
6088.74     80.950   145.018
6177.30     79.270   147.946
6267.15     77.834   153.036
6358.31     76.726   159.748
6450.80     76.045   167.098
6544.62     75.813   173.778
6639.82     75.942   178.719
6736.40     76.244  -178.520
6834.38     76.519  -177.725
6933.79     76.565  -178.387
7034.64     76.313  -179.809
7136.96     75.784   178.700
7240.77     75.032   177.718
7346.09     74.127   177.763
7452.94     73.154   179.191
7561.35     72.290  -178.051
7671.33     71.699  -174.625
7782.91     71.462  -171.577
7896.12     71.442  -169.791
8010.97     71.362  -169.433
