Freq[Hz]  Imp[Ohm]  Phase[Deg]
162.327      7.284   -22.541
164.688      7.218   -22.001
167.084      7.151   -21.367
169.514      7.083   -20.630
171.980      7.049   -19.806
174.481      7.043   -18.997
177.019      7.042   -18.261
179.594      7.042   -17.604
182.206      7.042   -17.021
184.856      7.042   -16.500
187.545      7.042   -16.038
190.273      7.040   -15.642
193.041      7.029   -15.295
195.849      7.007   -14.960
198.697      6.965   -14.589
201.587      6.898   -14.100
204.520      6.841   -13.478
207.494      6.791   -12.744
210.512      6.765   -11.910
213.574      6.762   -11.051
216.681      6.767   -10.227
219.833      6.802    -9.516
223.030      6.867    -9.022
226.274      6.926    -8.736
229.565      6.955    -8.579
232.905      6.923    -8.434
236.292      6.860    -8.180
239.729      6.798    -7.750
243.216      6.767    -7.166
246.754      6.762    -6.532
250.343      6.761    -5.925
253.984      6.761    -5.356
257.678      6.761    -4.819
261.426      6.761    -4.297
265.229      6.761    -3.783
269.087      6.761    -3.273
273.001      6.761    -2.762
276.972      6.761    -2.248
281.000      6.761    -1.726
285.088      6.761    -1.192
289.234      6.761    -0.636
293.441      6.761    -0.037
297.709      6.762     0.612
302.040      6.767     1.306
306.433      6.802     1.983
310.890      6.869     2.537
315.412      6.937     2.947
320.000      7.003     3.219
324.655      7.036     3.376
329.377      7.041     3.520
334.168      7.042     3.713
339.028      7.042     3.961
343.959      7.042     4.260
348.962      7.042     4.591
354.038      7.042     4.947
359.188      7.042     5.327
364.412      7.042     5.730
369.713      7.042     6.158
375.090      7.042     6.616
380.546      7.042     7.112
386.081      7.042     7.665
391.697      7.044     8.281
397.394      7.053     8.949
403.175      7.092     9.606
409.039      7.159    10.163
414.989      7.226    10.606
421.025      7.288    10.951
427.149      7.318    11.243
433.362      7.324    11.592
439.665      7.328    12.053
446.060      7.352    12.598
452.548      7.406    13.150
459.131      7.474    13.659
465.809      7.543    14.118
472.584      7.605    14.521
479.458      7.668    14.877
486.432      7.738    15.214
493.507      7.807    15.569
500.686      7.871    15.952
507.968      7.938    16.344
515.357      8.046    16.673
522.853      8.199    16.843
530.458      8.378    16.773
538.174      8.541    16.433
546.002      8.646    15.900
553.943      8.705    15.295
562.001      8.728    14.700
570.175      8.732    14.164
578.469      8.732    13.681
586.883      8.730    13.210
595.419      8.713    12.749
604.080      8.664    12.340
612.866      8.564    12.081
621.780      8.431    12.063
630.824      8.307    12.299
640.000      8.215    12.755
649.309      8.176    13.341
658.753      8.170    13.930
668.335      8.169    14.468
678.056      8.169    14.961
687.919      8.169    15.430
697.925      8.169    15.900
708.077      8.169    16.389
718.376      8.169    16.920
728.825      8.170    17.504
739.426      8.176    18.143
750.181      8.210    18.790
761.093      8.277    19.365
772.163      8.345    19.865
783.394      8.411    20.307
794.789      8.448    20.717
806.349      8.473    21.162
818.078      8.525    21.645
829.977      8.594    22.131
842.050      8.666    22.612
854.298      8.750    23.052
866.724      8.839    23.426
879.330      8.918    23.786
892.120      9.025    24.115
905.097      9.131    24.357
918.262      9.238    24.528
931.618      9.368    24.606
945.169      9.466    24.625
958.917      9.539    24.667
972.864      9.588    24.769
987.015      9.658    24.924
1001.37      9.789    25.032
1015.94      9.960    24.986
1030.71     10.154    24.705
1045.71     10.295    24.188
1060.92     10.378    23.538
1076.35     10.402    22.858
1092.00     10.366    22.262
1107.89     10.300    21.839
1124.00     10.227    21.581
1140.35     10.137    21.512
1156.94     10.056    21.646
1173.77     10.002    21.924
1190.84      9.941    22.335
1208.16      9.911    22.874
1225.73      9.925    23.446
1243.56      9.974    23.987
1261.65     10.037    24.486
1280.00     10.107    24.942
1298.62     10.173    25.348
1317.51     10.246    25.718
1336.67     10.344    26.056
1356.11     10.474    26.313
1375.84     10.603    26.452
1395.85     10.736    26.462
1416.15     10.866    26.329
1436.75     10.995    26.051
1457.65     11.105    25.643
1478.85     11.158    25.166
1500.36     11.149    24.721
1522.19     11.095    24.370
1544.33     10.998    24.202
1566.79     10.892    24.294
1589.58     10.815    24.605
1612.70     10.751    25.082
1636.16     10.747    25.664
1659.95     10.805    26.225
1684.10     10.874    26.721
1708.60     10.951    27.148
1733.45     11.030    27.491
1758.66     11.109    27.768
1784.24     11.198    27.998
1810.19     11.308    28.144
1836.52     11.404    28.195
1863.24     11.475    28.199
1890.34     11.526    28.197
1917.83     11.546    28.233
1945.73     11.553    28.352
1974.03     11.575    28.542
2002.74     11.627    28.751
2031.87     11.694    28.939
2061.43     11.761    29.104
2091.41     11.811    29.253
2121.83     11.834    29.420
2152.69     11.871    29.616
2184.01     11.939    29.801
2215.77     12.006    29.965
2248.00     12.073    30.108
2280.70     12.106    30.248
2313.87     12.113    30.449
2347.53     12.119    30.755
2381.68     12.154    31.141
2416.32     12.227    31.549
2451.46     12.330    31.924
2487.12     12.469    32.200
2523.30     12.604    32.335
2560.00     12.740    32.337
2597.24     12.837    32.255
2635.01     12.876    32.188
2673.34     12.850    32.231
2712.23     12.823    32.418
2751.68     12.825    32.734
2791.70     12.862    33.155
2832.31     12.941    33.615
2873.50     13.026    34.047
2915.30     13.115    34.460
2957.70     13.233    34.848
3000.72     13.387    35.162
3044.37     13.548    35.371
3088.65     13.709    35.477
3133.58     13.866    35.476
3179.16     13.971    35.421
3225.40     14.044    35.387
3272.31     14.081    35.415
3319.91     14.099    35.549
3368.20     14.143    35.782
3417.19     14.214    36.071
3466.89     14.303    36.394
3517.32     14.417    36.707
3568.48     14.529    36.998
3620.39     14.652    37.282
3673.05     14.783    37.555
3726.47     14.918    37.815
3780.67     15.079    38.044
3835.67     15.259    38.213
3891.46     15.444    38.322
3948.06     15.622    38.378
4005.49     15.780    38.398
4063.75     15.916    38.420
4122.86     16.052    38.472
4182.82     16.212    38.535
4243.66     16.399    38.568
4305.39     16.625    38.512
4368.01     16.892    38.291
4431.55     17.158    37.870
4496.01     17.369    37.285
4561.40     17.449    36.646
4627.75     17.411    36.077
4695.06     17.274    35.691
4763.35     17.113    35.574
4832.64     17.003    35.711
4902.93     16.942    36.032
4974.24     16.951    36.457
5046.60     17.020    36.887
5120.00     17.126    37.273
5194.47     17.286    37.559
5270.03     17.446    37.717
5346.68     17.584    37.790
5424.45     17.680    37.826
5503.35     17.710    37.896
5583.40     17.710    38.073
5664.61     17.730    38.363
5747.01     17.787    38.739
5830.60     17.911    39.135
5915.41     18.085    39.477
6001.45     18.266    39.737
6088.74     18.428    39.938
6177.30     18.567    40.108
6267.15     18.688    40.275
6358.31     18.804    40.475
6450.80     18.952    40.691
6544.62     19.104    40.902
6639.82     19.279    41.091
6736.40     19.456    41.243
6834.38     19.623    41.374
6933.79     19.785    41.495
7034.64     19.912    41.631
7136.96     20.052    41.803
7240.77     20.207    41.988
7346.09     20.385    42.175
7452.94     20.598    42.332
7561.35     20.806    42.445
7671.33     21.005    42.527
7782.91     21.183    42.593
7896.12     21.340    42.673
8010.97     21.517    42.766
8127.49     21.695    42.864
8245.71     21.885    42.969
8365.65     22.091    43.060
8487.33     22.293    43.129
8610.78     22.489    43.190
8736.03     22.691    43.242
8863.09     22.897    43.275
8992.01     23.098    43.294
9122.80     23.295    43.313
9255.50     23.477    43.339
9390.12     23.634    43.392
9526.70     23.808    43.471
9665.27     24.011    43.557
9805.86     24.245    43.632
9948.49     24.492    43.678
10093.2     24.716    43.699
10240.0     24.935    43.703
10388.9     25.159    43.687
10540.1     25.391    43.652
10693.4     25.637    43.593
10848.9     25.854    43.512
11006.7     26.025    43.443
11166.8     26.168    43.412
11329.2     26.324    43.420
11494.0     26.506    43.455
11661.2     26.716    43.504
11830.8     26.934    43.550
12002.9     27.148    43.582
12177.5     27.356    43.607
12354.6     27.583    43.630
12534.3     27.830    43.637
12716.6     28.058    43.633
12901.6     28.295    43.620
13089.2     28.533    43.583
13279.6     28.769    43.532
13472.8     29.017    43.462
13668.8     29.238    43.373
13867.6     29.438    43.281
14069.3     29.614    43.202
14273.9     29.751    43.167
14481.5     29.887    43.187
14692.2     30.037    43.251
14905.9     30.224    43.346
15122.7     30.454    43.448
15342.7     30.704    43.536
15565.8     30.956    43.602
15792.2     31.211    43.648
16021.9     31.463    43.681
16255.0     31.730    43.702
16491.4     31.990    43.710
16731.3     32.254    43.708
16974.7     32.498    43.705
17221.6     32.745    43.708
17472.1     32.992    43.714
17726.2     33.245    43.726
17984.0     33.514    43.739
18245.6     33.787    43.746
18511.0     34.059    43.748
18780.2     34.334    43.746
19053.4     34.608    43.741
19330.5     34.900    43.728
19611.7     35.190    43.706
19897.0     35.485    43.674
20186.4     35.776    43.632
20480.0     36.058    43.585
20777.9     36.340    43.536
21080.1     36.622    43.486
21386.7     36.904    43.435
21697.8     37.185    43.384
22013.4     37.467    43.332
22333.6     37.749    43.278
22658.4     38.030    43.224
22988.0     38.312    43.169
23322.4     38.594    43.114
23661.6     38.875    43.057
24005.8     39.157    43.001
24355.0     39.439    42.944
24709.2     39.721    42.887
25068.6     40.002    42.830
25433.2     40.284    42.773
25803.2     40.566    42.717
26178.5     40.847    42.660
26559.3     41.129    42.604
26945.6     41.411    42.548
27337.5     41.692    42.493
27735.2     41.974    42.439
28138.6     42.256    42.385
28547.9     42.538    42.332
28963.1     42.819    42.281
29384.4     43.101    42.230
29811.8     43.383    42.180
30245.4     43.664    42.132
30685.3     43.946    42.085
31131.7     44.228    42.039
31584.5     44.510    41.995
32043.9     44.791    41.953
32510.0     45.073    41.913
32982.8     45.355    41.875
33462.6     45.636    41.839
33949.3     45.918    41.805
34443.1     46.200    41.774
34944.1     46.481    41.746
35452.4     46.763    41.721
35968.0     47.045    41.700
36491.2     47.327    41.683
37022.0     47.608    41.670
37560.5     47.890    41.664
38106.8     48.167    41.665
38661.1     48.432    41.673
39223.4     48.632    41.682
39793.9     48.766    41.691
