"Sensitivity Excess Phase - dB SPL/watt (8 ohms. @0.50 meters) (High)"
      "Hz"  "Mag (dB)"       "deg"
6412.9,106.32,-46.18
6593.3,105.7,-50.34
6778.8,105.09,-52.94
6969.5,104.53,-54.35
7165.5,104.13,-55.04
7367.1,103.84,-56.05
7574.3,103.53,-57.89
7787.4,103.17,-59.89
8006.4,102.78,-60.93
8231.7,102.46,-60.57
8463.2,102.27,-60.02
8701.3,102.2,-60.34
8946.1,102.26,-60.68
9197.7,102.43,-60.31
9456.5,102.73,-61.54
9722.5,102.99,-64.92
9996,103.21,-68.6
10277,103.36,-71.25
10566,103.54,-75.44
10863,103.7,-80.96
11169,103.75,-86.73
11483,103.62,-92.81
11806,103.3,-99.97
12138,102.81,-106.6
12480,101.98,-111.7
12831,101.09,-116.3
13192,100.09,-119.6
13563,99.022,-120.4
13945,98.037,-118.5
14337,97.657,-112.3
14740,98.292,-103.7
15155,99.817,-101.1
15581,101.6,-109.2
16019,102.73,-123.9
16470,102.79,-140.7
16933,101.86,-155.8
17410,100.51,-167.7
17899,99.03,-176.4
18403,97.605,175.79
18921,96.02,167.7
19453,94.202,159.7
20000,92.145,154
